"","X[[i]]"
"1","rt           democrats make it possible "
"2",NA
"3","rt           democrats make it possible http"
"4","rt  have you ever picked up a rock an seen these scurrying for cover that is what  reminds me of  "
"5","rt  somebody call a tv timeout        tcok"
"6","rt    voters she follows want  people beheaded amp raped when will media make  disavow t"
"7","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"8","rt  government for sale clinton style tcoiownhp     "
"9","the people from  are just too smart to vote for  lets  together tcoaatracioi"
"10","rt           democrats make it possible "
"11","rt  ratings pickle s   beat by robot chicken ties mike tyson mysteries tcohtq"
"12","rt   is nixon of the st century tcolpnuyfocka     t"
"13","rt   does not give two shits about anyone but herself tcoznytronlie    "
"14","   that is why its imperative that  not be elected "
"15","rt  best line from  pollsters  looks like shes about to do what  other  couldnt doand do"
"16","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"17","watch our new episode and meet waldorf leader of the greenie people    tcotuilpaiin"
"18","rt           democrats make it possible http"
"19","rt  we will not allow   ways we need to go out in masses to vote   "
"20","rt    voters she follows want  people beheaded amp raped when will media make  disavow t"
"21","rt  rt for  or fave for  or fave amp rt for both   tcoggczjuq t"
"22","tcoswgwkvblarry pinkney makes sense      "
"23",NA
"24","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"25","rt  i cant wait for the debates  should be very afraid  tconamunhws"
"26","no kidding why wont  point this out intimidated by  accusation theyre in  pocket  tcofwnmaff"
"27","rt    foundation received million in donations from hsbc swiss bank    of many "
"28"," a peace deal oh no not if  can help it you see that is bad for our economy  "
"29","rt  i cant wait for the debates  should be very afraid  tconamunhws"
"30","rt   amp  justin timberlake and other celebrities raised m for  tcoyvwk"
"31","so tellingdont trust the nothing  journalism doesnt exist there anymore"
"32","pastor burns mississippi will never allow  to become president  rally  tcofipyyavd "
"33","have you ever picked up a rock an seen these scurrying for cover that is what  reminds me of  tcofjiggq"
"34"," is worse tcoatbncl"
"35","rt        more at tcoojiixeaz "
"36","rt  for sale gt going fast gt sold gt   bought amp paid for by   tcoezkmtc htt"
"37","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"38","vagenda of manocide is also what i call my daily planner    tcocdjqynwfv"
"39","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"40","i cant wait for the debates  should be very afraid  tconamunhws"
"41","rt  our world soross campaign of global chaos tcomtvelqeuu   "
"42","   was hillary with you tcounejtaoyvj"
"43","rt   may have found the perfect attack to use against     http"
"44","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"45","rt   got  million from terror supporting  nationsthe reason she appeases muslim terrorismhtt"
